timestamp,session_id,category,action,property_id,property_ref,location,listing_type,property_type,price,filter_data,platform,page_url,referrer,user_agent
2026-01-27T14:34:44.390Z,rs_1769524463927_8xcuw2wkk,view,property_view,12208,R5256556,Calahonda,,"Semi-Detached House",502550,"{""property_id"":12208,""property_ref"":""R5256556"",""property_type"":""Semi-Detached House"",""location"":""Calahonda"",""price"":502550}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T14:51:35.710Z,rs_1769517309918_y8zq1m6bl,view,property_view,12208,R5256556,Calahonda,,"Semi-Detached House",502550,"{""property_id"":12208,""property_ref"":""R5256556"",""property_type"":""Semi-Detached House"",""location"":""Calahonda"",""price"":502550}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T14:51:43.117Z,rs_1769524463927_8xcuw2wkk,view,property_view,12208,R5256556,Calahonda,,"Semi-Detached House",502550,"{""property_id"":12208,""property_ref"":""R5256556"",""property_type"":""Semi-Detached House"",""location"":""Calahonda"",""price"":502550}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T14:52:13.280Z,rs_1769524463927_8xcuw2wkk,view,property_view,12208,R5256556,Calahonda,,"Semi-Detached House",502550,"{""property_id"":12208,""property_ref"":""R5256556"",""property_type"":""Semi-Detached House"",""location"":""Calahonda"",""price"":502550}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:00:52.692Z,rs_1769517309918_y8zq1m6bl,view,property_view,12208,R5256556,Calahonda,,"Semi-Detached House",502550,"{""property_id"":12208,""property_ref"":""R5256556"",""property_type"":""Semi-Detached House"",""location"":""Calahonda"",""price"":502550}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:01:09.165Z,rs_1769517309918_y8zq1m6bl,click,share,12208,,,,,,"{""platform"":""facebook"",""property_id"":12208}",facebook,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:03:34.561Z,rs_1769524463927_8xcuw2wkk,view,property_view,12208,R5256556,Calahonda,,"Semi-Detached House",502550,"{""property_id"":12208,""property_ref"":""R5256556"",""property_type"":""Semi-Detached House"",""location"":""Calahonda"",""price"":502550}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:03:46.882Z,rs_1769524463927_8xcuw2wkk,view,property_view,12208,R5256556,Calahonda,,"Semi-Detached House",502550,"{""property_id"":12208,""property_ref"":""R5256556"",""property_type"":""Semi-Detached House"",""location"":""Calahonda"",""price"":502550}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:04:00.313Z,rs_1769524463927_8xcuw2wkk,view,property_view,12208,R5256556,Calahonda,,"Semi-Detached House",502550,"{""property_id"":12208,""property_ref"":""R5256556"",""property_type"":""Semi-Detached House"",""location"":""Calahonda"",""price"":502550}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
2026-01-27T15:04:32.045Z,rs_1769517309918_y8zq1m6bl,view,property_view,12208,R5256556,Calahonda,,"Semi-Detached House",502550,"{""property_id"":12208,""property_ref"":""R5256556"",""property_type"":""Semi-Detached House"",""location"":""Calahonda"",""price"":502550}",,https://witos323.sg-host.com/property/semi-detached-house-for-sale-in-calahonda-mijas-R5256556/,https://witos323.sg-host.com/property/penthouse-for-sale-in-benalmadena-benalmadena-R5288599,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
